id	GSM4423295_con	GSM4423296_con	GSM4423297_con	GSM4423298_con	GSM4423299_con	GSM4423300_con	GSM4423301_con	GSM4423302_con	GSM4423303_con	GSM4423304_con	GSM4423305_con	GSM4423306_con	GSM4423307_con	GSM4423308_con	GSM4423309_con	GSM4423310_con	GSM4423311_con	GSM4423312_con	GSM4423313_con	GSM4423314_con	GSM4423315_con	GSM4423316_con	GSM4423317_con	GSM4423318_con	GSM4423319_con	GSM4423320_con	GSM4423321_con	GSM4423322_con	GSM4423323_con	GSM4423324_con	GSM4423325_con	GSM4423326_con	GSM4423327_con	GSM4423328_con	GSM4423329_con	GSM4423330_con	GSM4423332_con	GSM4423333_con	GSM4423334_con	GSM4423335_con	GSM4423336_con	GSM4423337_con	GSM4423338_con	GSM4423339_con	GSM4423340_con	GSM4423341_con	GSM4423342_con	GSM4423343_con	GSM4423344_con	GSM4159498_treat	GSM4159499_treat	GSM4159500_treat	GSM4159501_treat	GSM4159502_treat	GSM4159503_treat	GSM4159504_treat	GSM4159505_treat	GSM4159506_treat	GSM4159507_treat	GSM4159508_treat	GSM4159509_treat	GSM4159510_treat	GSM4159511_treat	GSM4159512_treat	GSM4159513_treat	GSM4159514_treat	GSM4159515_treat	GSM4159516_treat	GSM4159517_treat	GSM4159518_treat	GSM4159519_treat	GSM4159520_treat	GSM4159521_treat	GSM4159522_treat	GSM4159523_treat	GSM4159524_treat	GSM4159525_treat	GSM4159526_treat	GSM4159527_treat	GSM4159528_treat	GSM4159529_treat	GSM4159530_treat	GSM4159531_treat	GSM4159532_treat	GSM4159533_treat	GSM4159534_treat	GSM4159535_treat	GSM4159536_treat	GSM4159537_treat	GSM4159538_treat	GSM4159539_treat	GSM4159540_treat	GSM4159541_treat	GSM4159542_treat	GSM4159543_treat	GSM4159544_treat	GSM4159545_treat	GSM4159546_treat	GSM4159547_treat	GSM4159548_treat
PLA2G4B	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1
PLA2G4F	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAPN3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ZNF106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
STARD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
DUOXA1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DUOX1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
SEMA6D	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
FGF7	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1
HDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
TNFAIP8L3	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
GLDN	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1
DMXL2	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGNL1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCOM1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
MYZAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1A2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
AQP9	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1
RORA	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0
RAB8B	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
HERC1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0
DAPK2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SNX22	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0
PLEKHO2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
ANKDD1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1
RASL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SMAD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CORO2B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UACA	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1
LARP6	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1
THSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
CELF6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
NEIL1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1
MAN2C1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1
CSPG4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1
PSTPIP1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0
PEAK1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TBC1D2B	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1
BCL2A1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
IL16	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1
TM6SF1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1
SH3GL3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
GOLGA6L5P	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0
AKAP13	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0
NTRK3	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
MFGE8	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1
ANPEP	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1
FES	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1
MAN2A2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0
SLCO3A1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1
LINC00930	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NR2F2-AS1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1
NR2F2	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
ARRDC4	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
SYNM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
MEF2A	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0
RHBDF1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0
HBA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HBA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RGS11	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CCDC78	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
CACNA1H	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1
